day,year,mo,da,collision_date,borough,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,Num_collision
4,2019,1,24,2019-01-24,MANHATTAN,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,999.9,0,94
4,2019,1,24,2019-01-24,BRONX,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,999.9,0,56
4,2019,1,24,2019-01-24,BROOKLYN,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,999.9,0,123
4,2019,1,24,2019-01-24,STATEN ISLAND,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,999.9,0,14
4,2019,1,24,2019-01-24,QUEENS,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,999.9,0,113
5,2019,1,25,2019-01-25,QUEENS,37,28.5,1010.5,8.9,14,26,35,52,30,0.28,999.9,0,127
5,2019,1,25,2019-01-25,BROOKLYN,37,28.5,1010.5,8.9,14,26,35,52,30,0.28,999.9,0,143
5,2019,1,25,2019-01-25,BRONX,37,28.5,1010.5,8.9,14,26,35,52,30,0.28,999.9,0,70
5,2019,1,25,2019-01-25,MANHATTAN,37,28.5,1010.5,8.9,14,26,35,52,30,0.28,999.9,0,73
5,2019,1,25,2019-01-25,STATEN ISLAND,37,28.5,1010.5,8.9,14,26,35,52,30,0.28,999.9,0,17
6,2019,1,26,2019-01-26,BROOKLYN,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,999.9,0,106
6,2019,1,26,2019-01-26,QUEENS,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,999.9,0,112
6,2019,1,26,2019-01-26,MANHATTAN,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,999.9,0,77
6,2019,1,26,2019-01-26,STATEN ISLAND,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,999.9,0,9
6,2019,1,26,2019-01-26,BRONX,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,999.9,0,56
7,2019,1,27,2019-01-27,QUEENS,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21,0,999.9,0,88
7,2019,1,27,2019-01-27,STATEN ISLAND,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21,0,999.9,0,6
7,2019,1,27,2019-01-27,BRONX,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21,0,999.9,0,41
7,2019,1,27,2019-01-27,MANHATTAN,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21,0,999.9,0,71
7,2019,1,27,2019-01-27,BROOKLYN,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21,0,999.9,0,93
1,2019,1,28,2019-01-28,BROOKLYN,35.7,27.3,1016,9.8,11.3,19,26,44.1,28.9,0,999.9,0,128
1,2019,1,28,2019-01-28,STATEN ISLAND,35.7,27.3,1016,9.8,11.3,19,26,44.1,28.9,0,999.9,0,19
1,2019,1,28,2019-01-28,QUEENS,35.7,27.3,1016,9.8,11.3,19,26,44.1,28.9,0,999.9,0,97
