day,year,mo,da,collision_date,borough,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,Num_collision
4,2019,1,24,24/01/2019,MANHATTAN,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,999.9,0,94
4,2019,1,24,24/01/2019,BRONX,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,999.9,0,56
4,2019,1,24,24/01/2019,BROOKLYN,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,999.9,0,123
4,2019,1,24,24/01/2019,STATEN ISLAND,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,999.9,0,14
4,2019,1,24,24/01/2019,QUEENS,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,999.9,0,113
5,2019,1,25,25/01/2019,QUEENS,37,28.5,1010.5,8.9,14,26,35,52,30,0.28,999.9,0,127
5,2019,1,25,25/01/2019,BROOKLYN,37,28.5,1010.5,8.9,14,26,35,52,30,0.28,999.9,0,143
5,2019,1,25,25/01/2019,BRONX,37,28.5,1010.5,8.9,14,26,35,52,30,0.28,999.9,0,70
5,2019,1,25,25/01/2019,MANHATTAN,37,28.5,1010.5,8.9,14,26,35,52,30,0.28,999.9,0,73
5,2019,1,25,25/01/2019,STATEN ISLAND,37,28.5,1010.5,8.9,14,26,35,52,30,0.28,999.9,0,17
6,2019,1,26,26/01/2019,BROOKLYN,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,999.9,0,106
6,2019,1,26,26/01/2019,QUEENS,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,999.9,0,112
6,2019,1,26,26/01/2019,MANHATTAN,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,999.9,0,77
6,2019,1,26,26/01/2019,STATEN ISLAND,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,999.9,0,9
6,2019,1,26,26/01/2019,BRONX,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,999.9,0,56
7,2019,1,27,27/01/2019,QUEENS,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21,0,999.9,0,88
7,2019,1,27,27/01/2019,STATEN ISLAND,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21,0,999.9,0,6
7,2019,1,27,27/01/2019,BRONX,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21,0,999.9,0,41
7,2019,1,27,27/01/2019,MANHATTAN,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21,0,999.9,0,71
7,2019,1,27,27/01/2019,BROOKLYN,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21,0,999.9,0,93
1,2019,1,28,28/01/2019,BROOKLYN,35.7,27.3,1016,9.8,11.3,19,26,44.1,28.9,0,999.9,0,128
1,2019,1,28,28/01/2019,STATEN ISLAND,35.7,27.3,1016,9.8,11.3,19,26,44.1,28.9,0,999.9,0,19
1,2019,1,28,28/01/2019,QUEENS,35.7,27.3,1016,9.8,11.3,19,26,44.1,28.9,0,999.9,0,97
1,2019,1,28,28/01/2019,BRONX,35.7,27.3,1016,9.8,11.3,19,26,44.1,28.9,0,999.9,0,53
1,2019,1,28,28/01/2019,MANHATTAN,35.7,27.3,1016,9.8,11.3,19,26,44.1,28.9,0,999.9,0,53
2,2019,1,29,29/01/2019,BROOKLYN,33.8,23.7,1016.7,10,9.6,14,999.9,42.1,30,0,999.9,0,138
2,2019,1,29,29/01/2019,QUEENS,33.8,23.7,1016.7,10,9.6,14,999.9,42.1,30,0,999.9,0,115
2,2019,1,29,29/01/2019,STATEN ISLAND,33.8,23.7,1016.7,10,9.6,14,999.9,42.1,30,0,999.9,0,21
2,2019,1,29,29/01/2019,BRONX,33.8,23.7,1016.7,10,9.6,14,999.9,42.1,30,0,999.9,0,78
2,2019,1,29,29/01/2019,MANHATTAN,33.8,23.7,1016.7,10,9.6,14,999.9,42.1,30,0,999.9,0,103
3,2019,1,30,30/01/2019,QUEENS,36.8,29.5,1009.8,8.8,15.1,28,41,42.1,30,0.39,999.9,0,109
3,2019,1,30,30/01/2019,BRONX,36.8,29.5,1009.8,8.8,15.1,28,41,42.1,30,0.39,999.9,0,66
3,2019,1,30,30/01/2019,BROOKLYN,36.8,29.5,1009.8,8.8,15.1,28,41,42.1,30,0.39,999.9,0,145
3,2019,1,30,30/01/2019,STATEN ISLAND,36.8,29.5,1009.8,8.8,15.1,28,41,42.1,30,0.39,999.9,0,10
3,2019,1,30,30/01/2019,MANHATTAN,36.8,29.5,1009.8,8.8,15.1,28,41,42.1,30,0.39,999.9,0,85
4,2019,1,31,31/01/2019,MANHATTAN,15.7,1.9,1022.5,9.5,16.4,28.9,41,42.1,8.1,0,999.9,0,80
4,2019,1,31,31/01/2019,BROOKLYN,15.7,1.9,1022.5,9.5,16.4,28.9,41,42.1,8.1,0,999.9,0,127
4,2019,1,31,31/01/2019,STATEN ISLAND,15.7,1.9,1022.5,9.5,16.4,28.9,41,42.1,8.1,0,999.9,0,7
4,2019,1,31,31/01/2019,QUEENS,15.7,1.9,1022.5,9.5,16.4,28.9,41,42.1,8.1,0,999.9,0,102
4,2019,1,31,31/01/2019,BRONX,15.7,1.9,1022.5,9.5,16.4,28.9,41,42.1,8.1,0,999.9,0,67
7,2017,1,1,01/01/2017,BROOKLYN,44.4,33.6,1017.4,9,13.4,18.1,27,48,39,0.03,999.9,0,105
7,2017,1,1,01/01/2017,MANHATTAN,44.4,33.6,1017.4,9,13.4,18.1,27,48,39,0.03,999.9,0,63
7,2017,1,1,01/01/2017,BRONX,44.4,33.6,1017.4,9,13.4,18.1,27,48,39,0.03,999.9,0,41
7,2017,1,1,01/01/2017,QUEENS,44.4,33.6,1017.4,9,13.4,18.1,27,48,39,0.03,999.9,0,93
7,2017,1,1,01/01/2017,STATEN ISLAND,44.4,33.6,1017.4,9,13.4,18.1,27,48,39,0.03,999.9,0,11
1,2017,1,2,02/01/2017,MANHATTAN,37.4,28.7,1032,10,7.1,12,999.9,50,26.1,0.03,999.9,0,53
1,2017,1,2,02/01/2017,STATEN ISLAND,37.4,28.7,1032,10,7.1,12,999.9,50,26.1,0.03,999.9,0,10
1,2017,1,2,02/01/2017,QUEENS,37.4,28.7,1032,10,7.1,12,999.9,50,26.1,0.03,999.9,0,94
1,2017,1,2,02/01/2017,BRONX,37.4,28.7,1032,10,7.1,12,999.9,50,26.1,0.03,999.9,0,34
1,2017,1,2,02/01/2017,BROOKLYN,37.4,28.7,1032,10,7.1,12,999.9,50,26.1,0.03,999.9,0,84
2,2017,1,3,03/01/2017,BRONX,44.3,40.7,1020.7,5.4,15.2,21,31.1,48.9,42.1,0.11,999.9,0,53
2,2017,1,3,03/01/2017,BROOKLYN,44.3,40.7,1020.7,5.4,15.2,21,31.1,48.9,42.1,0.11,999.9,0,118
2,2017,1,3,03/01/2017,QUEENS,44.3,40.7,1020.7,5.4,15.2,21,31.1,48.9,42.1,0.11,999.9,0,114
2,2017,1,3,03/01/2017,MANHATTAN,44.3,40.7,1020.7,5.4,15.2,21,31.1,48.9,42.1,0.11,999.9,0,92
2,2017,1,3,03/01/2017,STATEN ISLAND,44.3,40.7,1020.7,5.4,15.2,21,31.1,48.9,42.1,0.11,999.9,0,17
