day,year,mo,da,collision_date,borough,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,Num_collision
5,2016,01,01,2016-01-01,BRONX,41.2,28.0,1015.1,9.8,10.2,17.1,24.1,44.1,37.4,0.43,999.9,0,43
6,2016,01,02,2016-01-02,BRONX,37.7,22.9,1014.3,10.0,12.5,19.0,25.1,44.1,34.0,0.03,999.9,0,43
7,2016,01,03,2016-01-03,BRONX,44.4,29.4,1010.4,10.0,15.5,22.9,33.0,52.0,34.0,0.0,999.9,0,50
1,2016,01,04,2016-01-04,BRONX,38.2,27.4,1011.5,10.0,13.5,24.1,31.1,52.0,34.0,0.0,999.9,0,56
2,2016,01,05,2016-01-05,BRONX,27.7,18.1,1028.5,7.9,20.3,28.9,39.0,43.0,24.1,0.0,999.9,0,73
3,2016,01,06,2016-01-06,BRONX,33.5,19.3,1033.1,10.0,8.3,17.1,999.9,45.0,21.0,0.0,999.9,0,63
4,2016,01,07,2016-01-07,BRONX,40.5,29.9,1026.9,10.0,6.8,13.0,999.9,46.9,24.1,0.0,999.9,0,63
5,2016,01,08,2016-01-08,BRONX,41.3,33.1,1022.3,9.9,11.8,20.0,28.0,48.0,30.9,0.0,999.9,0,83
6,2016,01,09,2016-01-09,BRONX,45.9,38.6,1022.7,10.0,9.3,15.9,21.0,50.0,30.9,0.0,999.9,0,54
7,2016,01,10,2016-01-10,BRONX,51.3,49.0,1012.0,4.9,16.2,34.0,41.0,57.9,44.1,0.0,999.9,1,41
1,2016,01,11,2016-01-11,BRONX,43.2,30.5,1005.5,8.4,17.5,24.1,31.1,57.9,35.1,2.17,999.9,1,75
2,2016,01,12,2016-01-12,BRONX,33.0,19.1,1015.4,10.0,7.9,14.0,999.9,50.0,19.9,0.0,999.9,0,62
3,2016,01,13,2016-01-13,BRONX,32.9,18.2,1005.8,9.6,18.0,32.1,42.0,43.0,19.9,0.13,999.9,0,49
4,2016,01,14,2016-01-14,BRONX,28.9,14.7,1013.1,8.1,11.4,20.0,27.0,37.9,27.0,0.01,999.9,0,63
5,2016,01,15,2016-01-15,BRONX,36.5,25.6,1014.8,10.0,7.2,13.0,999.9,45.0,24.1,0.0,999.9,0,68
6,2016,01,16,2016-01-16,BRONX,45.7,42.5,999.0,7.3,15.7,32.1,42.0,51.1,39.9,1.3,999.9,0,54
7,2016,01,17,2016-01-17,BRONX,40.2,32.3,1007.3,9.2,7.7,12.0,18.1,51.1,36.0,0.77,999.9,0,53
1,2016,01,18,2016-01-18,BRONX,34.4,24.9,1002.2,8.8,15.3,27.0,35.0,44.1,26.1,0.45,999.9,0,53
