"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","tmsplitcheckcombined2.visib","wdsp","tmsplitcheckcombined2.Num_collision"
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,34.7,21.7,10,10.7,1
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,42.8,36.4,8.8,12.5,0.821428571428571
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,46.8,38.5,8.4,11.2,0.721428571428571
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,41.8,31.7,10,9.2,0.764285714285714
"51",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,51,47.1,4.2,20.9,0.878571428571429
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,40.2,23.9,9.5,20.8,0.778571428571429
"53",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,30.7,11.4,10,11.6,0.428571428571429
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,42.8,31.7,10,16.6,0.671428571428571
"55",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,47.8,40.9,7.2,17,0.664285714285714
"56",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2016,43.2,29,9.3,12.1,0.892857142857143
"57",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2016,45.7,38.8,6.8,18.2,0.885714285714286
"58",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016,29.9,11.8,10,12.2,0.885714285714286
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2016,33.9,26.2,6.9,8.5,1
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016,34.8,22.6,9.1,20.8,0.842857142857143
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2016,33.2,18.7,10,3.1,0.607142857142857
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2016,36.8,26.1,9.9,9,0.742857142857143
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2016,44.4,36.5,8.8,8.5,0.835714285714286
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2016,46.4,41.8,8,9.4,0.785714285714286
"65",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016,49.6,43.8,7.6,10.9,0.807142857142857
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2016,46.8,42.9,7.6,10.1,0.9
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016,41.2,35.4,8.8,6.6,0.907142857142857
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2016,50.1,35.2,10,11.8,0.635714285714286
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2016,43.8,33.8,9.5,12.3,0.65
