day,year,mo,da,collision_date,borough,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,Num_collision
5,2016,01,01,2016-01-01,BRONX,41.2,28.0,1015.1,9.8,10.2,17.1,24.1,44.1,37.4,0.43,999.9,0,43
5,2016,01,01,2016-01-01,STATEN ISLAND,41.2,28.0,1015.1,9.8,10.2,17.1,24.1,44.1,37.4,0.43,999.9,0,9
5,2016,01,01,2016-01-01,BROOKLYN,41.2,28.0,1015.1,9.8,10.2,17.1,24.1,44.1,37.4,0.43,999.9,0,96
5,2016,01,01,2016-01-01,MANHATTAN,41.2,28.0,1015.1,9.8,10.2,17.1,24.1,44.1,37.4,0.43,999.9,0,67
5,2016,01,01,2016-01-01,QUEENS,41.2,28.0,1015.1,9.8,10.2,17.1,24.1,44.1,37.4,0.43,999.9,0,97
6,2016,01,02,2016-01-02,BROOKLYN,37.7,22.9,1014.3,10.0,12.5,19.0,25.1,44.1,34.0,0.03,999.9,0,104
6,2016,01,02,2016-01-02,STATEN ISLAND,37.7,22.9,1014.3,10.0,12.5,19.0,25.1,44.1,34.0,0.03,999.9,0,7
6,2016,01,02,2016-01-02,QUEENS,37.7,22.9,1014.3,10.0,12.5,19.0,25.1,44.1,34.0,0.03,999.9,0,99
6,2016,01,02,2016-01-02,BRONX,37.7,22.9,1014.3,10.0,12.5,19.0,25.1,44.1,34.0,0.03,999.9,0,43
6,2016,01,02,2016-01-02,MANHATTAN,37.7,22.9,1014.3,10.0,12.5,19.0,25.1,44.1,34.0,0.03,999.9,0,77
7,2016,01,03,2016-01-03,BROOKLYN,44.4,29.4,1010.4,10.0,15.5,22.9,33.0,52.0,34.0,0.0,999.9,0,102
7,2016,01,03,2016-01-03,MANHATTAN,44.4,29.4,1010.4,10.0,15.5,22.9,33.0,52.0,34.0,0.0,999.9,0,73
7,2016,01,03,2016-01-03,STATEN ISLAND,44.4,29.4,1010.4,10.0,15.5,22.9,33.0,52.0,34.0,0.0,999.9,0,13
7,2016,01,03,2016-01-03,BRONX,44.4,29.4,1010.4,10.0,15.5,22.9,33.0,52.0,34.0,0.0,999.9,0,50
7,2016,01,03,2016-01-03,QUEENS,44.4,29.4,1010.4,10.0,15.5,22.9,33.0,52.0,34.0,0.0,999.9,0,83
1,2016,01,04,2016-01-04,BROOKLYN,38.2,27.4,1011.5,10.0,13.5,24.1,31.1,52.0,34.0,0.0,999.9,0,151
1,2016,01,04,2016-01-04,STATEN ISLAND,38.2,27.4,1011.5,10.0,13.5,24.1,31.1,52.0,34.0,0.0,999.9,0,23
1,2016,01,04,2016-01-04,BRONX,38.2,27.4,1011.5,10.0,13.5,24.1,31.1,52.0,34.0,0.0,999.9,0,56
1,2016,01,04,2016-01-04,QUEENS,38.2,27.4,1011.5,10.0,13.5,24.1,31.1,52.0,34.0,0.0,999.9,0,127
1,2016,01,04,2016-01-04,MANHATTAN,38.2,27.4,1011.5,10.0,13.5,24.1,31.1,52.0,34.0,0.0,999.9,0,94
2,2016,01,05,2016-01-05,QUEENS,27.7,18.1,1028.5,7.9,20.3,28.9,39.0,43.0,24.1,0.0,999.9,0,132
2,2016,01,05,2016-01-05,BROOKLYN,27.7,18.1,1028.5,7.9,20.3,28.9,39.0,43.0,24.1,0.0,999.9,0,181
2,2016,01,05,2016-01-05,BRONX,27.7,18.1,1028.5,7.9,20.3,28.9,39.0,43.0,24.1,0.0,999.9,0,73
2,2016,01,05,2016-01-05,MANHATTAN,27.7,18.1,1028.5,7.9,20.3,28.9,39.0,43.0,24.1,0.0,999.9,0,86
2,2016,01,05,2016-01-05,STATEN ISLAND,27.7,18.1,1028.5,7.9,20.3,28.9,39.0,43.0,24.1,0.0,999.9,0,16
3,2016,01,06,2016-01-06,STATEN ISLAND,33.5,19.3,1033.1,10.0,8.3,17.1,999.9,45.0,21.0,0.0,999.9,0,18
3,2016,01,06,2016-01-06,BROOKLYN,33.5,19.3,1033.1,10.0,8.3,17.1,999.9,45.0,21.0,0.0,999.9,0,170
3,2016,01,06,2016-01-06,QUEENS,33.5,19.3,1033.1,10.0,8.3,17.1,999.9,45.0,21.0,0.0,999.9,0,123
3,2016,01,06,2016-01-06,MANHATTAN,33.5,19.3,1033.1,10.0,8.3,17.1,999.9,45.0,21.0,0.0,999.9,0,102
3,2016,01,06,2016-01-06,BRONX,33.5,19.3,1033.1,10.0,8.3,17.1,999.9,45.0,21.0,0.0,999.9,0,63
4,2016,01,07,2016-01-07,BROOKLYN,40.5,29.9,1026.9,10.0,6.8,13.0,999.9,46.9,24.1,0.0,999.9,0,138
4,2016,01,07,2016-01-07,QUEENS,40.5,29.9,1026.9,10.0,6.8,13.0,999.9,46.9,24.1,0.0,999.9,0,111
4,2016,01,07,2016-01-07,MANHATTAN,40.5,29.9,1026.9,10.0,6.8,13.0,999.9,46.9,24.1,0.0,999.9,0,100
4,2016,01,07,2016-01-07,STATEN ISLAND,40.5,29.9,1026.9,10.0,6.8,13.0,999.9,46.9,24.1,0.0,999.9,0,11
4,2016,01,07,2016-01-07,BRONX,40.5,29.9,1026.9,10.0,6.8,13.0,999.9,46.9,24.1,0.0,999.9,0,63
5,2016,01,08,2016-01-08,BRONX,41.3,33.1,1022.3,9.9,11.8,20.0,28.0,48.0,30.9,0.0,999.9,0,83
5,2016,01,08,2016-01-08,BROOKLYN,41.3,33.1,1022.3,9.9,11.8,20.0,28.0,48.0,30.9,0.0,999.9,0,149
5,2016,01,08,2016-01-08,QUEENS,41.3,33.1,1022.3,9.9,11.8,20.0,28.0,48.0,30.9,0.0,999.9,0,148
5,2016,01,08,2016-01-08,STATEN ISLAND,41.3,33.1,1022.3,9.9,11.8,20.0,28.0,48.0,30.9,0.0,999.9,0,19
5,2016,01,08,2016-01-08,MANHATTAN,41.3,33.1,1022.3,9.9,11.8,20.0,28.0,48.0,30.9,0.0,999.9,0,104
6,2016,01,09,2016-01-09,STATEN ISLAND,45.9,38.6,1022.7,10.0,9.3,15.9,21.0,50.0,30.9,0.0,999.9,0,23
6,2016,01,09,2016-01-09,MANHATTAN,45.9,38.6,1022.7,10.0,9.3,15.9,21.0,50.0,30.9,0.0,999.9,0,108
6,2016,01,09,2016-01-09,QUEENS,45.9,38.6,1022.7,10.0,9.3,15.9,21.0,50.0,30.9,0.0,999.9,0,110
6,2016,01,09,2016-01-09,BROOKLYN,45.9,38.6,1022.7,10.0,9.3,15.9,21.0,50.0,30.9,0.0,999.9,0,136
6,2016,01,09,2016-01-09,BRONX,45.9,38.6,1022.7,10.0,9.3,15.9,21.0,50.0,30.9,0.0,999.9,0,54
7,2016,01,10,2016-01-10,BRONX,51.3,49.0,1012.0,4.9,16.2,34.0,41.0,57.9,44.1,0.0,999.9,1,41
7,2016,01,10,2016-01-10,BROOKLYN,51.3,49.0,1012.0,4.9,16.2,34.0,41.0,57.9,44.1,0.0,999.9,1,126
7,2016,01,10,2016-01-10,MANHATTAN,51.3,49.0,1012.0,4.9,16.2,34.0,41.0,57.9,44.1,0.0,999.9,1,63
7,2016,01,10,2016-01-10,STATEN ISLAND,51.3,49.0,1012.0,4.9,16.2,34.0,41.0,57.9,44.1,0.0,999.9,1,15
7,2016,01,10,2016-01-10,QUEENS,51.3,49.0,1012.0,4.9,16.2,34.0,41.0,57.9,44.1,0.0,999.9,1,87
