"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","ttsplitcheckcombined2.visib","wdsp","Num_collision"
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,24.7,14.7,8.9,16.4,0.467836257309941
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,36.4,32,7.6,9.8,0.508771929824561
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,41.4,36.6,6.5,11.9,0.555555555555556
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,36.1,25.2,10,7.7,0.660818713450292
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,36.6,29.3,8.4,8.9,0.637426900584795
"46",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,38.6,33.2,9.8,6,0.812865497076023
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,39.2,35.8,9.2,8.6,0.508771929824561
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,30.9,25.6,4.2,23.6,0.52046783625731
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,24.6,7.6,9.3,22,0.47953216374269
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,36.7,25.4,10,10.6,0.649122807017544
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,38.7,28.9,8.5,16.9,0.47953216374269
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,30.6,14.1,10,17.3,0.631578947368421
"53",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,35.4,25.4,9.8,14.2,0.690058479532164
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,36.3,29.8,9.7,7,0.660818713450292
"55",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,42.6,40.7,4.3,17.1,0.52046783625731
"56",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,37.5,30.4,8.3,13.4,0.567251461988304
"57",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,35,26.7,10,5,0.672514619883041
"58",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,44.1,41,5.9,18,0.719298245614035
"59",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,41.4,38.9,7.2,7.8,0.60233918128655
"60",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,39.3,34.2,9.4,10.6,0.649122807017544
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,38.2,29.1,10,9.4,0.60233918128655
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,37.4,29.3,10,7.1,0.543859649122807
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,37,26.4,10,11.5,0.666666666666667
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,38.5,29.8,9.9,14.9,0.578947368421053
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,39.1,34.2,9.4,13.5,0.60233918128655
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,38.3,35.2,4.1,31.6,0.637426900584795
"67",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,37.4,35.2,3.3,28.4,0.783625730994152
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,39.2,31.7,9.9,24.9,0.713450292397661
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,39,31.7,10,11.9,0.456140350877193
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,39.9,34.7,10,6.5,0.526315789473684
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,46,43.9,7.5,13.1,0.783625730994152
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,46.3,41.1,7.1,13.1,0.783625730994152
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,37,25.3,9.7,10.4,0.678362573099415
"74",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,31.2,13.7,10,18.5,0.777777777777778
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,37.1,22,10,10.2,0.596491228070175
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,34.8,21.5,9.9,7.5,0.52046783625731
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,32.1,15.5,10,9,0.725146198830409
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,39.6,35.5,4.6,16.5,0.532163742690059
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,36.5,25.7,10,17.9,0.631578947368421
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,38.3,29.9,9.8,10.9,0.526315789473684
"81",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,34.3,27.6,6.8,13.6,0.631578947368421
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,38.5,21.7,10,15.9,0.608187134502924
"83",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,39.1,23.3,10,10.4,0.578947368421053
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,38.1,29.8,10,9.7,0.567251461988304
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,39.8,28.7,9.7,15.5,0.532163742690059
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,41.7,30.3,10,9.4,0.549707602339181
"87",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,42.5,34.5,9.9,12.5,0.748538011695906
"88",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,45.2,34.3,10,8.9,0.654970760233918
"89",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,44.5,35.1,10,7,0.555555555555556
"90",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,43,38.1,10,7.1,0.467836257309941
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,47,42.9,6.8,16.3,0.532163742690059
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,39.6,18.8,9.9,17.2,0.543859649122807
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,42.6,15.7,10,17,0.637426900584795
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,39,18.8,10,14,0.578947368421053
"95",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,42.9,38.5,8.7,8,0.713450292397661
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,40.2,22,10,12.5,0.730994152046784
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,39.7,28.6,10,9.2,0.619883040935672
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,50,41.6,9.1,9.4,0.637426900584795
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,49.4,43.4,6.7,10.7,0.690058479532164
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,46.5,42,7.6,8.8,0.730994152046784
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,46.2,41,6.6,10,0.590643274853801
"102",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,43.6,35.7,7.7,13.8,0.789473684210526
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,44.4,39.7,8.2,12.9,0.701754385964912
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,46.1,38.4,9.6,7.7,0.654970760233918
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,46.1,34.2,10,8.1,0.625730994152047
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,46,40.5,10,9.3,0.754385964912281
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,52.1,42.7,8.3,11,0.701754385964912
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,46.5,37.3,10,8.8,0.725146198830409
"109",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,52.6,49.4,4.6,12.5,0.701754385964912
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,52.7,49.6,3.6,15.2,0.684210526315789
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,45.1,28.5,10,11.7,0.374269005847953
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,43,29.8,10,11.3,0.690058479532164
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,44.6,40,5.1,15,0.637426900584795
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,47.5,43.6,7,19.2,0.649122807017544
"115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,50.8,45.1,7.2,10.4,0.614035087719298
"116",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,49.5,37.8,9.5,6.5,0.789473684210526
"117",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,46.6,34.7,8.6,3.9,0.619883040935672
"118",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,48,38.5,9.8,3.9,0.514619883040936
"119",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,49.7,37.9,9.9,4.3,0.660818713450292
"120",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,51,30.2,10,5.2,0.742690058479532
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,49.9,41.4,7.4,7,0.707602339181287
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,49.9,42,9.5,5,0.660818713450292
"123",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,46.9,39.7,9.9,13.7,0.771929824561403
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,47.8,38.7,10,13.7,0.842105263157895
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,47.8,39.9,9.7,10.1,0.608187134502924
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,49.2,43.4,5.1,5.5,0.654970760233918
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,54.4,49.9,4.4,4.5,0.701754385964912
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,59.4,54.7,7.5,10.5,0.812865497076023
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,57.2,53.6,5,6.2,0.748538011695906
"130",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,56.1,51,5.7,8.3,0.818713450292398
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,56.2,53.1,3.7,9.4,0.666666666666667
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,56.2,53.1,3.3,11,0.56140350877193
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,53.1,37.1,9.9,11.9,0.660818713450292
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,51,35.3,9.8,11.8,0.684210526315789
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,53.1,44.5,10,12.1,0.590643274853801
"136",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,57.7,50.1,7.1,12.5,0.742690058479532
"137",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,58.2,43.9,9.9,10.7,0.947368421052632
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,54.6,45.2,10,5.1,0.666666666666667
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,56.3,49.4,9.3,6.6,0.614035087719298
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,57.5,54.5,2.9,10.3,0.830409356725146
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,58,55.5,0.3,7.8,0.812865497076023
